Method,Variant,TopK,Execution_Time_s,CO2_kg,HitRate,nDCG,Precision,Recall
EL2N,15,5,9910.85,0.038047,0.418212,0.282785,0.083642,0.418212
EL2N,15,10,9910.85,0.038047,0.602318,0.34253,0.060232,0.602318
EL2N,15,20,9910.85,0.038047,0.769702,0.384955,0.038485,0.769702
EL2N,15,50,9910.85,0.038047,0.937086,0.418698,0.018742,0.937086
EL2N,20,5,10116.22,0.038055,0.410927,0.274937,0.082185,0.410927
EL2N,20,10,10116.22,0.038055,0.590563,0.332897,0.059056,0.590563
EL2N,20,20,10116.22,0.038055,0.764901,0.376996,0.038245,0.764901
EL2N,20,50,10116.22,0.038055,0.936424,0.411538,0.018728,0.936424
EL2N,25,5,10410.41,0.038066,0.397517,0.266617,0.079503,0.397517
EL2N,25,10,10410.41,0.038066,0.577483,0.324624,0.057748,0.577483
EL2N,25,20,10410.41,0.038066,0.752815,0.368926,0.037641,0.752815
EL2N,25,50,10410.41,0.038066,0.940232,0.406586,0.018805,0.940232
EL2N,30,5,10648.89,0.038078,0.392053,0.261358,0.078411,0.392053
EL2N,30,10,10648.89,0.038078,0.569205,0.318384,0.056921,0.569205
EL2N,30,20,10648.89,0.038078,0.742715,0.362191,0.037136,0.742715
EL2N,30,50,10648.89,0.038078,0.939735,0.401756,0.018795,0.939735
EL2N,40,5,11011.72,0.038094,0.376159,0.268544,0.075232,0.376159
EL2N,40,10,11011.72,0.038094,0.541887,0.321951,0.054189,0.541887
EL2N,40,20,11011.72,0.038094,0.71606,0.365872,0.035803,0.71606
EL2N,40,50,11011.72,0.038094,0.933775,0.409455,0.018675,0.933775
RNS,15,5,2874.52,0.000124,0.441556,0.299994,0.088311,0.441556
RNS,15,10,2874.52,0.000124,0.618046,0.35705,0.061804,0.618046
RNS,15,20,2874.52,0.000124,0.782119,0.398712,0.039105,0.782119
RNS,15,50,2874.52,0.000124,0.955463,0.433465,0.019109,0.955463
RNS,20,5,2905.96,0.000126,0.444039,0.299912,0.088807,0.444039
RNS,20,10,2905.96,0.000126,0.617715,0.356257,0.061771,0.617715
RNS,20,20,2905.96,0.000126,0.774668,0.395966,0.038733,0.774668
RNS,20,50,2905.96,0.000126,0.954139,0.432034,0.019082,0.954139
RNS,25,5,2953.18,0.000128,0.438245,0.298389,0.087649,0.438245
RNS,25,10,2953.18,0.000128,0.615894,0.355691,0.061589,0.615894
RNS,25,20,2953.18,0.000128,0.781953,0.397789,0.039097,0.781953
RNS,25,50,2953.18,0.000128,0.953476,0.432289,0.019069,0.953476
RNS,30,5,2994.95,0.000129,0.449834,0.304063,0.089966,0.449834
RNS,30,10,2994.95,0.000129,0.623178,0.360137,0.062317,0.623178
RNS,30,20,2994.95,0.000129,0.787913,0.401911,0.039395,0.787913
RNS,30,50,2994.95,0.000129,0.957615,0.435971,0.019152,0.957615
RNS,40,5,3132.33,0.000135,0.455463,0.311484,0.091092,0.455463
RNS,40,10,3132.33,0.000135,0.624006,0.365895,0.0624,0.624006
RNS,40,20,3132.33,0.000135,0.786423,0.407035,0.039321,0.786423
RNS,40,50,3132.33,0.000135,0.959933,0.442005,0.019198,0.959933
Full,NA,5,17658.55,0.000709,0.32798,0.218034,0.065596,0.32798
Full,NA,10,17658.55,0.000709,0.480794,0.267146,0.048079,0.480794
Full,NA,20,17658.55,0.000709,0.669867,0.314716,0.033493,0.669867
Full,NA,50,17658.55,0.000709,0.923013,0.365242,0.01846,0.923013
Only_Positive,75,5,3771.45,0.029132,0.45066,0.30309,0.09013,0.45066
EL2N_Pos_75_Neg_all,0,5,5276.82,0.039012,0.50347,0.50347,0.10069,0.50347
RNS_Pos_Neg,75,5,3202.87,0.000138,0.459602,0.312547,0.09192,0.459602
EL2N_Pos_75_Neg_15,0,5,4727.71,0.000191,0.39603,0.25882,0.07921,0.39603
